Description	CCS Group	ICD9	CCS
Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy	Biopsy of liver	34550	083
Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, with intractable epilepsy	Biopsy of liver	34551	083
SM BOWEL-RECT STUMP ANAS	Ligation of fallopian tubes	4592	121
nitrofurantoin	Physical therapy exercises, manipulation, and	7454	213
nitrofural	Physical therapy exercises, manipulation, and	7455	213
Tetralogy of fallot	Physical therapy exercises, manipulation, and	7452	213
Common ventricle	Physical therapy exercises, manipulation, and	7453	213
Common truncus	Physical therapy exercises, manipulation, and	7450	213
Unspecified defect of septal closure	Physical therapy exercises, manipulation, and	7459	213
Other closed fracture of lower end of humerus	Nonoperative removal of foreign body	81249	229
Herpes zoster with meningitis	Colonoscopy and biopsy	0530	076
Herpes zoster with unspecified complication	Other diagnostic nervous system procedures	0538	007
SYMPATH NERVE INJECT NEC	Other non-OR or closed therapeutic nervous sy	0539	008
PART ADRENALECTOMY NEC	Other therapeutic endocrine procedures	0729	012
Closed fracture of lateral condyle of humerus	Pathology	81242	234
Transverse deficiency of lower limb	Other respiratory therapy	75531	217
Arthropathy, unspecified, site unspecified	Swan-Ganz catheterization for monitoring	71690	204
Longitudinal deficiency, combined, involving femur, tibia, and fibula (complete or incomplete)	Other respiratory therapy	75533	217
Closed fracture of medial condyle of humerus	Pathology	81243	234
Arthropathy, unspecified, shoulder region	Swan-Ganz catheterization for monitoring	71691	204
Closed fracture of unspecified condyle(s) of humerus	Pathology	81244	234
Multiple gestation with malpresentation of one fetus or more, unspecified as to episode of care or not applicable	Nonoperative removal of foreign body	65260	229
Multiple gestation with malpresentation of one fetus or more, delivered,	Intravenous pyelogram	65261	187
Multiple gestation with malpresentation of one fetus or more, antepartum	Intravenous pyelogram	65263	187
Chronic rheumatic pericarditis	Other gastrointestinal diagnostic procedures	393	097
Blood Storage and Processing - General Classification	Other vascular bypass and shunt, not heart	390	056
Osteopathy resulting from poliomyelitis, site unspecified	Other diagnostic radiology and related techni	73070	226
Herpes simplex otitis externa	Other diagnostic nervous system procedures	05473	007
Villonodular synovitis, ankle and foot	Swan-Ganz catheterization for monitoring	71927	204
TOOTH EXTRACTION NEC	Oral and Dental Services	2309	029
Carcinoma in situ of liver and biliary system	Repair of retinal tear, detachment	2308	016
Closed fracture of multiple sites of metacarpus	Pathology	81509	234
Villonodular synovitis, hand	Swan-Ganz catheterization for monitoring	71924	204
Closed fracture of shaft of metacarpal bone(s)	Pathology	81503	234
Carcinoma in situ of lip, oral cavity, and pharynx	Diagnostic endocrine procedures	2300	011
Closed fracture of base of thumb [first] metacarpal	Nonoperative removal of foreign body	81501	229
Closed fracture of metacarpal bone(s), site unspecified	Pathology	81500	234
Chronic pharyngitis	Cesarean section	4721	134
Chronic rhinitis	Cesarean section	4720	134
Chronic nasopharyngitis	Cesarean section	4722	134
warfarin	Diagnostic spinal tap	11289	004
Macrostomia	Other respiratory therapy	74483	217
HYPO-EPISPADIUS REPAIR	Amputation of lower extremity	5845	157
Candidal otitis externa	Diagnostic spinal tap	11282	004
Candidal enteritis	Diagnostic spinal tap	11285	004
Candidal esophagitis	Diagnostic spinal tap	11284	004
URETHRAL REPAIR NEC	Amputation of lower extremity	5849	157
Acute kidney failure with other specified pathological lesion in kidney	Amputation of lower extremity	5848	157
Encounter for testing of male partner of female with recurrent pregnancy loss	Other organ transplantation	V2635	176
Other specified anomalies of genital organs	Other physical therapy and rehabilitation	75289	215
HEART/PERICARD REPR NEC (Begin 2005)	Peritoneal dialysis	3749	091
econazole	Ungrouped	3743	000
ILEOSTOMY NOS	Ileostomy and other enterostomy	4620	073
Burn of unspecified degree of upper arm	Burns	94303	240
Burn of unspecified degree of elbow	Burns	94302	240
Burn of unspecified degree of forearm	Burns	94301	240
Burn of unspecified degree of upper limb, except wrist and hand, unspecified site	Burns	94300	240
Burn of unspecified degree of shoulder	Burns	94305	240
Other postoperative infection	Complications of surgical procedures or medical care	99859	238
Carrier or suspected carrier of other specified infectious organism	Thyroidectomy, partial or complete	V029	010
Infected postoperative seroma	Complications of surgical procedures or medical care	99851	238
Dental caries extending into pulp	Disorders of teeth and jaw	52103	136
Dental caries extending into dentine	Disorders of teeth and jaw	52102	136
Dental caries, unspecified	Disorders of teeth and jaw	52100	136
Other leukemia of unspecified cell type, without mention of having achieved remission	Incision of pleura, thoracentesis, chest drai	20880	039
Other dental caries	Disorders of teeth and jaw	52109	136
Glucocorticoid deficiency	Endarterectomy, vessel of head and neck	25541	051
Nursey - Other	Diagnostic procedures on ear	179	025
Mineralocorticoid deficiency	Endarterectomy, vessel of head and neck	25542	051
Nodular prostate without urinary obstruction	Other OR therapeutic procedures on musculoske	60010	164
Nodular prostate with urinary obstruction	Other OR therapeutic procedures on musculoske	60011	164
Closed fracture of base of skull without mention of intra cranial injury, with loss of consciousness of unspecified duration	Prophylactic vaccinations and inoculations	80106	228
Closed fracture of base of skull without mention of intra cranial injury, unspecified state of consciousness	Prophylactic vaccinations and inoculations	80100	228
Closed fracture of base of skull without mention of intra cranial injury, with no loss of consciousness	Prophylactic vaccinations and inoculations	80101	228
Closed fracture of base of skull without mention of intra cranial injury, with brief [less than one hour] loss of consciousness	Prophylactic vaccinations and inoculations	80102	228
Focal choroiditis and chorioretinitis of other posterior pole	Excision, lysis peritoneal adhesions	36303	090
Focal chorioretinitis, unspecified	Excision, lysis peritoneal adhesions	36300	090
Focal retinitis and retinochoroiditis of other posterior pole	Excision, lysis peritoneal adhesions	36307	090
Focal retinitis and retinochoroiditis, macular or paramacular	Excision, lysis peritoneal adhesions	36306	090
Focal retinitis and retinochoroiditis, juxtapapillary	Excision, lysis peritoneal adhesions	36305	090
Focal choroiditis and chorioretinitis, peripheral	Excision, lysis peritoneal adhesions	36304	090
Congenital deformities of eyelids	Other respiratory therapy	74362	217
Open wound of tooth (broken) (fractured) (due to trauma), complicated	Other Laboratory	87373	235
Open wound of mouth, unspecified site, complicated	Other Laboratory	87370	235
Open wound of tongue and floor of mouth, complicated	Other Laboratory	87374	235
Open wound of other and multiple sites of mouth, complicated	Other Laboratory	87379	235
Other named variants of lymphosarcoma and reticulosarcoma, intra-abdominal lymph nodes	Other diagnostic procedures on lung and bronc	20083	038
Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of head, face, and neck	Other diagnostic procedures on lung and bronc	20081	038
Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites	Other diagnostic procedures on lung and bronc	20080	038
Other allied disorders of spine	Arterial blood gases	7218	205
Cervical spondylosis without myelopathy	Arterial blood gases	7210	205
Cervical spondylosis with myelopathy	Arterial blood gases	7211	205
Thoracic spondylosis without myelopathy	Arterial blood gases	7212	205
Lumbosacral spondylosis without myelopathy	Arterial blood gases	7213	205
Ankylosing vertebral hyperostosis	Arterial blood gases	7216	205
Acute Eustachian salpingitis	Other bowel diagnostic procedures	38151	092
Malposition of uterus	Other OR therapeutic procedures on skin and b	6216	175
Intrauterine synechiae	Other OR therapeutic procedures on skin and b	6215	175
Hematometra	Other OR therapeutic procedures on skin and b	6214	175
endometrial hyperplasia	Other OR therapeutic procedures on skin and b	6213	175
OPEN TESTICULAR BIOPSY	Other OR therapeutic procedures on skin and b	6212	175
CLOSED TESTICULAR BIOPSY	Other OR therapeutic procedures on skin and b	6211	175
Polyp of corpus uteri	Other OR therapeutic procedures on skin and b	6210	175
Family history of other chronic respiratory conditions	Residual codes; unclassified	V176	259
Family history of arthritis	Residual codes; unclassified	V177	259
fam hx-cardiovas dis nec	Residual codes; unclassified	V174	259
Family history of asthma	Residual codes; unclassified	V175	259
Family history of other neurological diseases	Residual codes; unclassified	V172	259
Family history of ischemic heart disease	Residual codes; unclassified	V173	259
TESTES DX PROCEDURE NEC	Other OR therapeutic procedures on skin and b	6219	175
Family history of stroke (cerebrovascular)	Residual codes; unclassified	V171	259
UTERUS/ADNEX DX PROC NEC	Other diagnostic ultrasound	6819	197
DIGITAL EXAM OF UTERUS	Other diagnostic procedures, female organs	6811	130
REMOV CHOLECYSTOST TUBE	Poisoning by other medications and drugs	9754	242
REMOV LARGE BOWEL TUBE	Poisoning by other medications and drugs	9753	242
REMOV SMALL BOWEL TUBE	Poisoning by other medications and drugs	9752	242
Acute gastritis, without mention of hemorrhage	Repair of current obstetric laceration	53500	140
Acute gastritis, with hemorrhage	Repair of current obstetric laceration	53501	140
Blepharitis, unspecified	Excision, lysis peritoneal adhesions	37300	090
Ulcerative blepharitis	Excision, lysis peritoneal adhesions	37301	090
Squamous blepharitis	Excision, lysis peritoneal adhesions	37302	090
CONTRAST ARTERIOGRAM NOS	Home Health Services	8840	236
CONTR CEREBR ARTERIOGRAM	Home Health Services	8841	236
CONTRAST AORTOGRAM	Home Health Services	8842	236
Unspecified infection of the breast and nipple associated with childbirth, unspecified as to episode of care or not applicable	Diagnostic ultrasound of urinary tract	67590	195
Unspecified infection of the breast and nipple associated with childbirth, postpartum condition or complication	Diagnostic ultrasound of urinary tract	67594	195
CL OSTEOPLASTY MAND RAMI	Cancer chemotherapy	7661	224
Exceptionally large baby	Cancer chemotherapy	7660	224
Keratoconus, unspecified	Peritoneal dialysis	37160	091
Keratoconus, stable condition	Peritoneal dialysis	37161	091
Keratoconus, acute hydrops	Peritoneal dialysis	37162	091
Procreative counseling and advice using natural family planning	Other organ transplantation	V2641	176
Other procreative management, counseling and advice	Other organ transplantation	V2649	176
LITT lesn	Other therapeutic procedures	1769	231
LITT lesn liver	Other OR gastrointestinal therapeutic procedu	1763	099
bromocriptine	Other non-OR therapeutic procedures on respir	1760	041
LITT lesn brain	Other non-OR therapeutic procedures on respir	1761	041
Kaposi's sarcoma, lymph nodes	Other non-OR therapeutic procedures on respir	1765	041
Unspecified schizophrenia, unspecified	Traction, splints, and other wound care	29590	214
Sprain of coccyx	Anesthesia	8474	232
Malignant neoplasm of anal canal	Lens and cataract procedures	1542	015
Malignant neoplasm of anus, unspecified site	Lens and cataract procedures	1543	015
Malignant neoplasm of rectosigmoid junction	Lens and cataract procedures	1540	015
Malignant neoplasm of rectum	Lens and cataract procedures	1541	015
APP EXT FIX DEV-MONOPLAN (Begin 2005)	Anesthesia	8471	232
Unspecified chlamydial infection	Other diagnostic nervous system procedures	07998	007
Unspecified viral infection	Other diagnostic nervous system procedures	07999	007
Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus	Lens and cataract procedures	1548	015
Sprain of neck	Anesthesia	8470	232
Ocular laceration without prolapse of intraocular tissue	Other Laboratory	8710	235
FULL-MOUTH X-RAY	Other Laboratory	8711	235
DENTAL X-RAY NEC	Other Laboratory	8712	235
TM CONTRAST ARTHROGRAM	Other Laboratory	8713	235
CONTRAST X-RAY OF ORBIT	Other Laboratory	8714	235
CONTRAST X-RAY OF SINUS	Other Laboratory	8715	235
FACIAL BONE X-RAY NEC	Other Laboratory	8716	235
SKULL X-RAY NEC	Other Laboratory	8717	235
Computed tomography, thoracic spine; without contrast material, followed by contrast material(s) and further sections	Other CT scan	72130	180
Unspecified open wound of eyeball	Other Laboratory	8719	235
APP EXT FIX DEV-RING SYS (Begin 2005)	Anesthesia	8472	232
Cesarean delivery, without mention of indication, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of urinary tract	66971	195
Cesarean delivery, without mention of indication, unspecified as to episode of care or not applicable	Diagnostic ultrasound of urinary tract	66970	195
Femoral hernia with gangrene, unilateral or unspecified (not specified as recurrent)	Bunionectomy or repair of toe deformities	55100	143
Personal history of poliomyelitis	Colorectal resection	V1202	078
Personal history of unspecified infectious and parasitic disease	Other non-OR or closed therapeutic nervous sy	V1200	008
Personal history of tuberculosis	Incision and excision of CNS	V1201	001
Acquired stenosis of external ear canal secondary to inflammation	Other OR upper GI therapeutic procedures	38053	094
Personal history of other infectious and parasitic diseases	Other non-OR or closed therapeutic nervous sy	V1209	008
Acquired stenosis of external ear canal secondary to surgery	Other OR upper GI therapeutic procedures	38052	094
nodular prostate	Other OR therapeutic procedures on musculoske	6001	164
Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled	Other diagnostic procedures on musculoskeleta	25040	159
Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled	Extracorporeal circulation auxiliary to open	25041	050
Diabetes with renal manifestations, type II or unspecified type, uncontrolled	Extracorporeal circulation auxiliary to open	25042	050
Diabetes with renal manifestations, type I [juvenile type], uncontrolled	Extracorporeal circulation auxiliary to open	25043	050
CAROTID SINUS STIUMLAT	Ancillary Services	9964	237
Complications peculiar to certain specified procedures - Infection and inflammatory reaction due to internal prosthetic device, implant, and graft	Ancillary Services	9966	237
Complications peculiar to certain specified procedures - Other complications of internal (biological) (synthetic) prosthetic device, implant, and graft	Ancillary Services	9967	237
CARDIOPULM RESUSCITA NOS	Conversion of cardiac rhythm	9960	225
HEART COUNTERSHOCK NEC	Ancillary Services	9962	237
Unspecified fetal and placental problem, affecting management of mother, unspecified as to episode of care or not applicable	Diagnostic ultrasound of urinary tract	65690	195
Unspecified fetal and placental problem, affecting management of mother, antepartum condition or complication	Diagnostic ultrasound of urinary tract	65693	195
Pharmacy - Take Home Drugs	Other OR therapeutic procedures on nose, mout	253	033
Edema or excessive weight gain in pregnancy, without mention of hypertension, antepartum condition or complication	Myelogram	64613	181
Edema or excessive weight gain in pregnancy, without mention of hypertension, unspecified as to episode of care or not applicable	Myelogram	64610	181
Edema or excessive weight gain in pregnancy, without mention of hypertension,delivered, with or without mention of antepartum complication	Myelogram	64611	181
Edema or excessive weight gain in pregnancy, without mention of hypertension, postpartum condition or complication	Myelogram	64614	181
EYE EXAMINATION NOS	Gastric bypass and volume reduction	9509	244
COMPREHENSIVE EYE EXAM	Gastric bypass and volume reduction	9502	244
Calculus of gallbladder with other cholecystitis, without mention of obstruction	Arthroscopy	57410	149
Calculus of gallbladder with other cholecystitis, with obstruction	Arthroscopy	57411	149
Hereditary disease in family possibly affecting fetus, affecting management of mother, antepartum condition or complication	Diagnostic ultrasound of urinary tract	65523	195
Hereditary disease in family possibly affecting fetus, affecting management of mother, delivered, with or without mention of antepartum condition	Diagnostic ultrasound of urinary tract	65521	195
Hereditary disease in family possibly affecting fetus, affecting management of mother, unspecified as to episode of care or not applicable	Diagnostic ultrasound of urinary tract	65520	195
Other accidental fall from one level to another	E Codes: All (external causes of injury and poisoning)	E8849	260
Unspecified visual disturbance	Exploratory laparotomy	3689	089
Other specified visual disturbances	Exploratory laparotomy	3688	089
Diplopia	Exploratory laparotomy	3682	089
REV HIP REPL-ACETAB COMP (Begin 2005)	Hip replacement, total and partial	0071	153
REV HIP REPL-ACETAB/FEM (Begin 2005)	Hip replacement, total and partial	0070	153
Other specified disorders of pancreatic internal secretion	Endarterectomy, vessel of head and neck	2518	051
Unspecified disorder of pancreatic internal secretion	Endarterectomy, vessel of head and neck	2519	051
Other specified protozoal intestinal diseases	Forceps, vacuum, and breech delivery	0078	135
Hypoglycemic coma	Endarterectomy, vessel of head and neck	2510	051
Other specified hypoglycemia	Endarterectomy, vessel of head and neck	2511	051
Hypoglycemia, unspecified	Endarterectomy, vessel of head and neck	2512	051
Postsurgical hypoinsulinemia	Endarterectomy, vessel of head and neck	2513	051
Infectious mononucleosis	Other diagnostic nervous system procedures	075	007
Chronic obstructive asthma with (acute) exacerbation	Diagnostic dilatation and curettage (D&C)	49322	128
Chronic obstructive asthma with status asthmaticus	Diagnostic dilatation and curettage (D&C)	49321	128
Rabies	Other diagnostic nervous system procedures	071	007
Onychia and paronychia of toe	Other diagnostic ultrasound	68111	197
Cellulitis and abscess of toe, unspecified	Other diagnostic ultrasound	68110	197
ANNULOPLASTY	Other non-OR lower GI therapeutic procedures	3533	095
CHORDAE TENDINEAE OPS	Other non-OR lower GI therapeutic procedures	3532	095
TRABECUL CARNEAE CORD OP	Other non-OR lower GI therapeutic procedures	3535	095
INFUNDIBULECTOMY	Other non-OR lower GI therapeutic procedures	3534	095
Phantom limb (syndrome)	Other non-OR lower GI therapeutic procedures	3536	095
sodium edetate	Other non-OR lower GI therapeutic procedures	3539	095
High-risk sexual behavior	Residual codes; unclassified	V692	259
Inappropriate diet and eating habits	Residual codes; unclassified	V691	259
Lack of physical exercise	Residual codes; unclassified	V690	259
Screening examination for diphtheria	Thyroidectomy, partial or complete	V743	010
Arteriovenous anastomosis, open; by forearm vein transposition	Creation, revision and removal of arterioveno	36820	057
Organ or tissue replaced by other means - Joint	Therapeutic radiology	V436	211
Osteoarthrosis, localized, primary, other specified sites	Electrographic cardiac monitoring	71518	203
Heart valve replaced by other means	Other OR lower GI therapeutic procedures	V433	096
Lens replaced by other means	Other hernia repair	V431	086
Eye globe replaced by other means	Peritoneal dialysis	V430	091
Osteoarthrosis, localized, primary, forearm	Electrographic cardiac monitoring	71513	203
Osteoarthrosis, localized, primary, upper arm	Electrographic cardiac monitoring	71512	203
Osteoarthrosis, localized, primary, shoulder region	Electrographic cardiac monitoring	71511	203
Osteoarthrosis, localized, primary, site unspecified	Electrographic cardiac monitoring	71510	203
Osteoarthrosis, localized, primary, ankle and foot	Electrographic cardiac monitoring	71517	203
Osteoarthrosis, localized, primary, lower leg	Electrographic cardiac monitoring	71516	203
Osteoarthrosis, localized, primary, pelvic region and thigh	Electrographic cardiac monitoring	71515	203
Osteoarthrosis, localized, primary, hand	Electrographic cardiac monitoring	71514	203
Cannabis dependence, unspecified	Plastic procedures on nose	30430	028
Other motor neuron disease	Hemorrhoid procedures	33529	081
Primary lateral sclerosis	Hemorrhoid procedures	33524	081
Amyotrophic lateral sclerosis	Hemorrhoid procedures	33520	081
Progressive muscular atrophy	Hemorrhoid procedures	33521	081
Progressive bulbar palsy	Hemorrhoid procedures	33522	081
Pseudobulbar palsy	Hemorrhoid procedures	33523	081
Peripheral T cell lymphoma, unspecified site, extranodal and solid organ sites	Other diagnostic procedures on lung and bronc	20270	038
Overweight	Hemodialysis	27802	058
Chronic pulmonary heart disease, unspecified	Nephrotomy and nephrostomy	4169	103
Obesity, unspecified	Hemodialysis	27800	058
Morbid obesity	Hemodialysis	27801	058
Other chronic pulmonary heart diseases	Nephrotomy and nephrostomy	4168	103
